id,state,county,count,topTen,topOnePercent,topTenPercent
48091,tx,Comal County,2,false,false,true,
45091,sc,York County,2,false,false,true,
6037,ca,Los Angeles County,2,false,false,true,
39093,oh,Lorain County,2,false,false,true,
48391,tx,Refugio County,2,false,false,true,
53061,wa,Snohomish County,2,false,false,true,
51199,va,York County,2,false,false,true,
39099,oh,Mahoning County,2,false,false,true,
48387,tx,Red River County,2,false,false,true,
22089,la,St. Charles Parish,2,false,false,true,
51173,va,Smyth County,2,false,false,true,
45083,sc,Spartanburg County,2,false,false,true,
51161,va,Roanoke County,2,false,false,true,
4003,az,Cochise County,2,false,false,true,
48181,tx,Grayson County,2,false,false,true,
39139,oh,Richland County,2,false,false,true,
16011,id,Bingham County,2,false,false,true,
48471,tx,Walker County,2,false,false,true,
48189,tx,Hale County,2,false,false,true,
48485,tx,Wichita County,2,false,false,true,
1117,al,Shelby County,2,false,false,true,
13135,ga,Gwinnett County,2,false,false,true,
48209,tx,Hays County,2,false,false,true,
45053,sc,Jasper County,2,false,false,true,
12113,fl,Santa Rosa County,2,false,false,true,
51087,va,Henrico County,2,false,false,true,
48373,tx,Polk County,2,false,false,true,
45035,sc,Dorchester County,2,false,false,true,
48213,tx,Henderson County,2,false,false,true,
48487,tx,Wilbarger County,2,false,false,true,
48371,tx,Pecos County,2,false,false,true,
40019,ok,Carter County,2,false,false,true,
48367,tx,Parker County,2,false,false,true,
18089,in,Lake County,2,false,false,true,
6059,ca,Orange County,2,false,false,true,
12011,fl,Broward County,2,false,false,true,
48251,tx,Johnson County,2,false,false,true,
12009,fl,Brevard County,2,false,false,true,
51121,va,Montgomery County,2,false,false,true,
51083,va,Halifax County,2,false,false,true,
17163,il,St. Clair County,2,false,false,true,
45007,sc,Anderson County,2,false,false,true,
12099,fl,Palm Beach County,2,false,false,true,
49035,ut,Salt Lake County,2,false,false,true,
29219,mo,Warren County,2,false,false,true,
1101,al,Montgomery County,2,false,false,true,
29197,mo,Schuyler County,2,false,false,true,
12001,fl,Alachua County,2,false,false,true,
12097,fl,Osceola County,2,false,false,true,
40071,ok,Kay County,2,false,false,true,
29187,mo,St. Francois County,2,false,false,true,
40079,ok,Le Flore County,2,false,false,true,
51149,va,Prince George County,2,false,false,true,
51015,va,Augusta County,2,false,false,true,
48277,tx,Lamar County,2,false,false,true,
40135,ok,Sequoyah County,2,false,false,true,
48289,tx,Leon County,2,false,false,true,
40091,ok,McIntosh County,2,false,false,true,
1113,al,Russell County,2,false,false,true,
51025,va,Brunswick County,2,false,false,true,
13179,ga,Liberty County,2,false,false,true,
51067,va,Franklin County,2,false,false,true,
18167,in,Vigo County,2,false,false,true,
40103,ok,Noble County,2,false,false,true,
17043,il,DuPage County,2,false,false,true,
28049,ms,Hinds County,2,false,false,true,
29107,mo,Lafayette County,2,false,false,true,
45013,sc,Beaufort County,2,false,false,true,
40113,ok,Osage County,1,false,false,true,
28047,ms,Harrison County,1,false,false,true,
28029,ms,Copiah County,1,false,false,true,
24025,md,Harford County,1,false,false,true,
48455,tx,Trinity County,1,false,false,true,
28079,ms,Leake County,1,false,false,true,
48465,tx,Val Verde County,1,false,false,true,
22117,la,Washington Parish,1,false,false,true,
22085,la,Sabine Parish,1,false,false,true,
22073,la,Ouachita Parish,1,false,false,true,
22063,la,Livingston Parish,1,false,false,true,
28091,ms,Marion County,1,false,false,true,
22057,la,Lafourche Parish,1,false,false,true,
48419,tx,Shelby County,1,false,false,true,
48499,tx,Wood County,1,false,false,true,
48415,tx,Scurry County,1,false,false,true,
49021,ut,Iron County,1,false,false,true,
48409,tx,San Patricio County,1,false,false,true,
22045,la,Iberia Parish,1,false,false,true,
48407,tx,San Jacinto County,1,false,false,true,
49049,ut,Utah County,1,false,false,true,
48403,tx,Sabine County,1,false,false,true,
22019,la,Calcasieu Parish,1,false,false,true,
28101,ms,Newton County,1,false,false,true,
51001,va,Accomack County,1,false,false,true,
28111,ms,Perry County,1,false,false,true,
51009,va,Amherst County,1,false,false,true,
28121,ms,Rankin County,1,false,false,true,
51011,va,Appomattox County,1,false,false,true,
28123,ms,Scott County,1,false,false,true,
22017,la,Caddo Parish,1,false,false,true,
28137,ms,Tate County,1,false,false,true,
21151,ky,Madison County,1,false,false,true,
29007,mo,Audrain County,1,false,false,true,
21111,ky,Jefferson County,1,false,false,true,
29019,mo,Boone County,1,false,false,true,
21067,ky,Fayette County,1,false,false,true,
48361,tx,Orange County,1,false,false,true,
51027,va,Buchanan County,1,false,false,true,
48357,tx,Ochiltree County,1,false,false,true,
51036,va,Charles City County,1,false,false,true,
29037,mo,Cass County,1,false,false,true,
18163,in,Vanderburgh County,1,false,false,true,
48351,tx,Newton County,1,false,false,true,
18157,in,Tippecanoe County,1,false,false,true,
29051,mo,Cole County,1,false,false,true,
18153,in,Sullivan County,1,false,false,true,
48347,tx,Nacogdoches County,1,false,false,true,
51069,va,Frederick County,1,false,false,true,
48343,tx,Morris County,1,false,false,true,
51079,va,Greene County,1,false,false,true,
29071,mo,Franklin County,1,false,false,true,
18095,in,Madison County,1,false,false,true,
48335,tx,Mitchell County,1,false,false,true,
18077,in,Jefferson County,1,false,false,true,
29119,mo,McDonald County,1,false,false,true,
51095,va,James City County,1,false,false,true,
29127,mo,Marion County,1,false,false,true,
51099,va,King George County,1,false,false,true,
29135,mo,Moniteau County,1,false,false,true,
18067,in,Howard County,1,false,false,true,
48299,tx,Llano County,1,false,false,true,
51119,va,Middlesex County,1,false,false,true,
48297,tx,Live Oak County,1,false,false,true,
18003,in,Allen County,1,false,false,true,
29157,mo,Perry County,1,false,false,true,
51131,va,Northampton County,1,false,false,true,
29165,mo,Platte County,1,false,false,true,
51139,va,Page County,1,false,false,true,
29175,mo,Randolph County,1,false,false,true,
51141,va,Patrick County,1,false,false,true,
48273,tx,Kleberg County,1,false,false,true,
17201,il,Winnebago County,1,false,false,true,
30073,mt,Pondera County,1,false,false,true,
17119,il,Madison County,1,false,false,true,
48257,tx,Kaufman County,1,false,false,true,
17111,il,McHenry County,1,false,false,true,
48253,tx,Jones County,1,false,false,true,
16001,id,Ada County,1,false,false,true,
30077,mt,Powell County,1,false,false,true,
13321,ga,Worth County,1,false,false,true,
30111,mt,Yellowstone County,1,false,false,true,
13265,ga,Taliaferro County,1,false,false,true,
48241,tx,Jasper County,1,false,false,true,
51175,va,Southampton County,1,false,false,true,
48233,tx,Hutchinson County,1,false,false,true,
51187,va,Warren County,1,false,false,true,
31055,ne,Douglas County,1,false,false,true,
51195,va,Wise County,1,false,false,true,
48223,tx,Hopkins County,1,false,false,true,
13253,ga,Seminole County,1,false,false,true,
31109,ne,Lancaster County,1,false,false,true,
51550,va,Chesapeake city,1,false,false,true,
31153,ne,Sarpy County,1,false,false,true,
13245,ga,Richmond County,1,false,false,true,
